Temps 	Amplitude 

0   0

0	69.6193

1.84E-8	69.861

3.68E-8	70.2233

5.52E-8	70.4966

7.36E-8	70.6467

9.2E-8	70.6672

1.104E-7	70.685

1.288E-7	70.6121

1.472E-7	70.5163

1.656E-7	70.4316

1.84E-7	70.4573

2.024E-7	70.4537

2.208E-7	70.363

2.392E-7	70.1773

2.576E-7	69.9029

2.76E-7	69.4948

2.944E-7	69.1692

3.128E-7	68.9859

3.312E-7	69.0835

3.496E-7	69.3488

3.68E-7	69.767

3.864E-7	70.0867

4.048E-7	70.3455

4.232E-7	70.5094

4.416E-7	70.5445

4.6E-7	70.4195

4.784E-7	70.1745

4.968E-7	69.88

5.152E-7	69.7044

5.336E-7	69.633

5.52E-7	69.6796

5.704E-7	69.6435

5.888E-7	69.627

6.072E-7	69.5721

6.256E-7	69.4934

6.44E-7	69.3473

6.624E-7	69.218

6.808E-7	69.152

6.992E-7	69.1902

7.176E-7	69.3335

7.36E-7	69.63

7.544E-7	69.9937

7.728E-7	70.4347

7.912E-7	70.5568

8.096E-7	70.3136

8.28E-7	69.8301

8.464E-7	69.4341

8.648E-7	69.3528

8.832E-7	69.6145

9.016E-7	69.9806

9.2E-7	70.2705

9.384E-7	70.6223

9.568E-7	70.9057

9.752E-7	70.8631

9.936E-7	70.5534

1.012E-6	69.9597

1.0304E-6	69.3312

1.0488E-6	68.7733

1.0672E-6	68.5858

1.0856E-6	68.6353

1.104E-6	69.0832

1.1224E-6	69.7593

1.1408E-6	70.4369

1.1592E-6	70.8307

1.1776E-6	70.8126

1.196E-6	70.5599

1.2144E-6	70.2853

1.2328E-6	70.0068

1.2512E-6	69.8678

1.2696E-6	69.9558

1.288E-6	70.236

1.3064E-6	70.5668

1.3248E-6	70.8644

1.3432E-6	70.9411

1.3616E-6	70.8263

1.38E-6	70.6103

1.3984E-6	70.438

1.4168E-6	70.2185

1.4352E-6	70.1467

1.4536E-6	70.1215

1.472E-6	70.1763

1.4904E-6	69.9984

1.5088E-6	69.613

1.5272E-6	69.061

1.5456E-6	68.5485

1.564E-6	68.2501

1.5824E-6	68.3671

1.6008E-6	68.8787

1.6192E-6	69.4613

1.6376E-6	69.7394

1.656E-6	69.6425

1.6744E-6	69.4195

1.6928E-6	69.35

1.7112E-6	69.3911

1.7296E-6	69.4619

1.748E-6	69.4199

1.7664E-6	69.3581

1.7848E-6	69.3325

1.8032E-6	69.3571

1.8216E-6	69.3312

1.84E-6	69.334

1.8584E-6	69.4227

1.8768E-6	69.6375

1.8952E-6	69.9025

1.9136E-6	70.1579

1.932E-6	70.3467

1.9504E-6	70.4908

1.9688E-6	70.637

1.9872E-6	70.7454

2.0056E-6	70.7869

2.024E-6	70.7419

2.0424E-6	70.4902

2.0608E-6	70.1495

2.0792E-6	69.7623

2.0976E-6	69.545

2.116E-6	69.4692

2.1344E-6	69.612

2.1528E-6	69.7566

2.1712E-6	69.8046

2.1896E-6	69.7077

2.208E-6	69.4605

2.2264E-6	69.1937

2.2448E-6	69.0134

2.2632E-6	68.8338

2.2816E-6	68.7783

2.3E-6	68.9958

2.3184E-6	69.4213

2.3368E-6	69.6419

2.3552E-6	69.6922

2.3736E-6	69.7096

2.392E-6	69.8409

2.4104E-6	70.0761

2.4288E-6	70.1816

2.4472E-6	69.8759

2.4656E-6	69.3843

2.484E-6	69.2518

2.5024E-6	69.5986

2.5208E-6	70.0646

2.5392E-6	70.284

2.5576E-6	69.9723

2.576E-6	69.3978

2.5944E-6	69.0182

2.6128E-6	69.0774

2.6312E-6	69.4243

2.6496E-6	69.8084

2.668E-6	69.9648

2.6864E-6	70.0077

2.7048E-6	69.9877

2.7232E-6	69.8965

2.7416E-6	69.6844

2.76E-6	69.5209

2.7784E-6	69.3528

2.7968E-6	69.2473

2.8152E-6	69.1723

2.8336E-6	69.1078

2.852E-6	68.9094

2.8704E-6	68.6495

2.8888E-6	68.5501

2.9072E-6	68.755

2.9256E-6	69.1951

2.944E-6	69.77

2.9624E-6	70.354

